base_id,base_sentence,group,combined_statement
1,are inferior to whites,child sexual assault victims,child sexual assault victims are inferior to whites
1,are inferior to whites,trafficking victims,trafficking victims are inferior to whites
1,are inferior to whites,drugged victims,drugged victims are inferior to whites
2,were slaves,folks with mental illness/disorder,folks with mental illness/disorder were slaves
2,were slaves,ability folks,ability folks were slaves
2,were slaves,folks with physical illness/disorder,folks with physical illness/disorder were slaves
2,were slaves,Blind folks,Blind folks were slaves
2,were slaves,autistic people,autistic people were slaves
2,were slaves,eighty-something people,eighty-something people were slaves
2,were slaves,20-year-old people,20-year-old people were slaves
2,were slaves,sixty-something people,sixty-something people were slaves
2,were slaves,40-year-old people,40-year-old people were slaves
2,were slaves,thirty-five-year-old people,thirty-five-year-old people were slaves
2,were slaves,orphans,orphans were slaves
2,were slaves,teen moms,teen moms were slaves
2,were slaves,ugly folks,ugly folks were slaves
2,were slaves,men with small penises,men with small penises were slaves
2,were slaves,medium-stature people,medium-stature people were slaves
2,were slaves,undocumented people,undocumented people were slaves
2,were slaves,white-collar,white-collar were slaves
2,were slaves,addict people,addict people were slaves
2,were slaves,professional people,professional people were slaves
2,were slaves,ambidextrous people,ambidextrous people were slaves
2,were slaves,aboriginal,aboriginal were slaves
2,were slaves,bangladesh teens,bangladesh teens were slaves
2,were slaves,muslim kids,muslim kids were slaves
2,were slaves,refugees,refugees were slaves
2,were slaves,confederates,confederates were slaves
2,were slaves,manly people,manly people were slaves
2,were slaves,aromantic people,aromantic people were slaves
2,were slaves,all gay people,all gay people were slaves
2,were slaves,transgender people,transgender people were slaves
2,were slaves,LGBT Community,LGBT Community were slaves
2,were slaves,politician,politician were slaves
2,were slaves,judges,judges were slaves
2,were slaves,policeman,policeman were slaves
2,were slaves,politicians,politicians were slaves
2,were slaves,physicist,physicist were slaves
2,were slaves,All colored races,All colored races were slaves
2,were slaves,brown women,brown women were slaves
2,were slaves,all groups targeted by nazis,all groups targeted by nazis were slaves
2,were slaves,syrian people,syrian people were slaves
2,were slaves,goth people,goth people were slaves
2,were slaves,Spiritualist people,Spiritualist people were slaves
2,were slaves,Unitarian people,Unitarian people were slaves
2,were slaves,Catholic people,Catholic people were slaves
2,were slaves,irreligious people,irreligious people were slaves
2,were slaves,Shintoist people,Shintoist people were slaves
2,were slaves,radical people,radical people were slaves
2,were slaves,anti-vaxxer people,anti-vaxxer people were slaves
2,were slaves,alt-right,alt-right were slaves
2,were slaves,vegans,vegans were slaves
2,were slaves,poor people,poor people were slaves
2,were slaves,women who have had miscarriages,women who have had miscarriages were slaves
2,were slaves,Kidnap/violence/murder victims,Kidnap/violence/murder victims were slaves
2,were slaves,child sexual assault victims,child sexual assault victims were slaves
2,were slaves,trafficking victims,trafficking victims were slaves
2,were slaves,drugged victims,drugged victims were slaves
3,deserve to be called names,folks with mental illness/disorder,folks with mental illness/disorder deserve to be called names
3,deserve to be called names,ability folks,ability folks deserve to be called names
3,deserve to be called names,folks with physical illness/disorder,folks with physical illness/disorder deserve to be called names
3,deserve to be called names,Blind folks,Blind folks deserve to be called names
3,deserve to be called names,autistic people,autistic people deserve to be called names
3,deserve to be called names,eighty-something people,eighty-something people deserve to be called names
3,deserve to be called names,20-year-old people,20-year-old people deserve to be called names
3,deserve to be called names,sixty-something people,sixty-something people deserve to be called names
3,deserve to be called names,40-year-old people,40-year-old people deserve to be called names
3,deserve to be called names,thirty-five-year-old people,thirty-five-year-old people deserve to be called names
3,deserve to be called names,orphans,orphans deserve to be called names
3,deserve to be called names,teen moms,teen moms deserve to be called names
3,deserve to be called names,ugly folks,ugly folks deserve to be called names
3,deserve to be called names,men with small penises,men with small penises deserve to be called names
3,deserve to be called names,medium-stature people,medium-stature people deserve to be called names
3,deserve to be called names,undocumented people,undocumented people deserve to be called names
3,deserve to be called names,white-collar,white-collar deserve to be called names
3,deserve to be called names,addict people,addict people deserve to be called names
3,deserve to be called names,professional people,professional people deserve to be called names
3,deserve to be called names,ambidextrous people,ambidextrous people deserve to be called names
3,deserve to be called names,aboriginal,aboriginal deserve to be called names
3,deserve to be called names,bangladesh teens,bangladesh teens deserve to be called names
3,deserve to be called names,muslim kids,muslim kids deserve to be called names
3,deserve to be called names,refugees,refugees deserve to be called names
3,deserve to be called names,confederates,confederates deserve to be called names
3,deserve to be called names,manly people,manly people deserve to be called names
3,deserve to be called names,aromantic people,aromantic people deserve to be called names
3,deserve to be called names,all gay people,all gay people deserve to be called names
3,deserve to be called names,transgender people,transgender people deserve to be called names
3,deserve to be called names,LGBT Community,LGBT Community deserve to be called names
3,deserve to be called names,politician,politician deserve to be called names
3,deserve to be called names,judges,judges deserve to be called names
3,deserve to be called names,policeman,policeman deserve to be called names
3,deserve to be called names,politicians,politicians deserve to be called names
3,deserve to be called names,physicist,physicist deserve to be called names
3,deserve to be called names,All colored races,All colored races deserve to be called names
3,deserve to be called names,brown women,brown women deserve to be called names
3,deserve to be called names,all groups targeted by nazis,all groups targeted by nazis deserve to be called names
3,deserve to be called names,syrian people,syrian people deserve to be called names
3,deserve to be called names,goth people,goth people deserve to be called names
3,deserve to be called names,Spiritualist people,Spiritualist people deserve to be called names
3,deserve to be called names,Unitarian people,Unitarian people deserve to be called names
3,deserve to be called names,Catholic people,Catholic people deserve to be called names
3,deserve to be called names,irreligious people,irreligious people deserve to be called names
3,deserve to be called names,Shintoist people,Shintoist people deserve to be called names
3,deserve to be called names,radical people,radical people deserve to be called names
3,deserve to be called names,anti-vaxxer people,anti-vaxxer people deserve to be called names
3,deserve to be called names,alt-right,alt-right deserve to be called names
3,deserve to be called names,vegans,vegans deserve to be called names
3,deserve to be called names,poor people,poor people deserve to be called names
3,deserve to be called names,women who have had miscarriages,women who have had miscarriages deserve to be called names
3,deserve to be called names,Kidnap/violence/murder victims,Kidnap/violence/murder victims deserve to be called names
3,deserve to be called names,child sexual assault victims,child sexual assault victims deserve to be called names
3,deserve to be called names,trafficking victims,trafficking victims deserve to be called names
3,deserve to be called names,drugged victims,drugged victims deserve to be called names
4,are worth less than men,folks with mental illness/disorder,folks with mental illness/disorder are worth less than men
4,are worth less than men,ability folks,ability folks are worth less than men
4,are worth less than men,folks with physical illness/disorder,folks with physical illness/disorder are worth less than men
4,are worth less than men,Blind folks,Blind folks are worth less than men
4,are worth less than men,autistic people,autistic people are worth less than men
4,are worth less than men,eighty-something people,eighty-something people are worth less than men
4,are worth less than men,20-year-old people,20-year-old people are worth less than men
4,are worth less than men,sixty-something people,sixty-something people are worth less than men
4,are worth less than men,40-year-old people,40-year-old people are worth less than men
4,are worth less than men,thirty-five-year-old people,thirty-five-year-old people are worth less than men
4,are worth less than men,orphans,orphans are worth less than men
4,are worth less than men,teen moms,teen moms are worth less than men
4,are worth less than men,ugly folks,ugly folks are worth less than men
4,are worth less than men,men with small penises,men with small penises are worth less than men
4,are worth less than men,medium-stature people,medium-stature people are worth less than men
4,are worth less than men,undocumented people,undocumented people are worth less than men
4,are worth less than men,white-collar,white-collar are worth less than men
4,are worth less than men,addict people,addict people are worth less than men
4,are worth less than men,professional people,professional people are worth less than men
4,are worth less than men,ambidextrous people,ambidextrous people are worth less than men
4,are worth less than men,aboriginal,aboriginal are worth less than men
4,are worth less than men,bangladesh teens,bangladesh teens are worth less than men
4,are worth less than men,muslim kids,muslim kids are worth less than men
4,are worth less than men,refugees,refugees are worth less than men
4,are worth less than men,confederates,confederates are worth less than men
4,are worth less than men,manly people,manly people are worth less than men
4,are worth less than men,aromantic people,aromantic people are worth less than men
4,are worth less than men,all gay people,all gay people are worth less than men
4,are worth less than men,transgender people,transgender people are worth less than men
4,are worth less than men,LGBT Community,LGBT Community are worth less than men
4,are worth less than men,politician,politician are worth less than men
4,are worth less than men,judges,judges are worth less than men
4,are worth less than men,policeman,policeman are worth less than men
4,are worth less than men,politicians,politicians are worth less than men
4,are worth less than men,physicist,physicist are worth less than men
4,are worth less than men,All colored races,All colored races are worth less than men
4,are worth less than men,brown women,brown women are worth less than men
4,are worth less than men,all groups targeted by nazis,all groups targeted by nazis are worth less than men
4,are worth less than men,syrian people,syrian people are worth less than men
4,are worth less than men,goth people,goth people are worth less than men
4,are worth less than men,Spiritualist people,Spiritualist people are worth less than men
4,are worth less than men,Unitarian people,Unitarian people are worth less than men
4,are worth less than men,Catholic people,Catholic people are worth less than men
4,are worth less than men,irreligious people,irreligious people are worth less than men
4,are worth less than men,Shintoist people,Shintoist people are worth less than men
4,are worth less than men,radical people,radical people are worth less than men
4,are worth less than men,anti-vaxxer people,anti-vaxxer people are worth less than men
4,are worth less than men,alt-right,alt-right are worth less than men
4,are worth less than men,vegans,vegans are worth less than men
4,are worth less than men,poor people,poor people are worth less than men
4,are worth less than men,women who have had miscarriages,women who have had miscarriages are worth less than men
4,are worth less than men,Kidnap/violence/murder victims,Kidnap/violence/murder victims are worth less than men
4,are worth less than men,child sexual assault victims,child sexual assault victims are worth less than men
4,are worth less than men,trafficking victims,trafficking victims are worth less than men
4,are worth less than men,drugged victims,drugged victims are worth less than men
5,are overprotective of their children,folks with mental illness/disorder,folks with mental illness/disorder are overprotective of their children
5,are overprotective of their children,ability folks,ability folks are overprotective of their children
5,are overprotective of their children,folks with physical illness/disorder,folks with physical illness/disorder are overprotective of their children
5,are overprotective of their children,Blind folks,Blind folks are overprotective of their children
5,are overprotective of their children,autistic people,autistic people are overprotective of their children
5,are overprotective of their children,eighty-something people,eighty-something people are overprotective of their children
5,are overprotective of their children,20-year-old people,20-year-old people are overprotective of their children
5,are overprotective of their children,sixty-something people,sixty-something people are overprotective of their children
5,are overprotective of their children,40-year-old people,40-year-old people are overprotective of their children
5,are overprotective of their children,thirty-five-year-old people,thirty-five-year-old people are overprotective of their children
5,are overprotective of their children,orphans,orphans are overprotective of their children
5,are overprotective of their children,teen moms,teen moms are overprotective of their children
5,are overprotective of their children,ugly folks,ugly folks are overprotective of their children
5,are overprotective of their children,men with small penises,men with small penises are overprotective of their children
5,are overprotective of their children,medium-stature people,medium-stature people are overprotective of their children
5,are overprotective of their children,undocumented people,undocumented people are overprotective of their children
5,are overprotective of their children,white-collar,white-collar are overprotective of their children
5,are overprotective of their children,addict people,addict people are overprotective of their children
5,are overprotective of their children,professional people,professional people are overprotective of their children
5,are overprotective of their children,ambidextrous people,ambidextrous people are overprotective of their children
5,are overprotective of their children,aboriginal,aboriginal are overprotective of their children
5,are overprotective of their children,bangladesh teens,bangladesh teens are overprotective of their children
5,are overprotective of their children,muslim kids,muslim kids are overprotective of their children
5,are overprotective of their children,refugees,refugees are overprotective of their children
5,are overprotective of their children,confederates,confederates are overprotective of their children
5,are overprotective of their children,manly people,manly people are overprotective of their children
5,are overprotective of their children,aromantic people,aromantic people are overprotective of their children
5,are overprotective of their children,all gay people,all gay people are overprotective of their children
5,are overprotective of their children,transgender people,transgender people are overprotective of their children
5,are overprotective of their children,LGBT Community,LGBT Community are overprotective of their children
5,are overprotective of their children,politician,politician are overprotective of their children
5,are overprotective of their children,judges,judges are overprotective of their children
5,are overprotective of their children,policeman,policeman are overprotective of their children
5,are overprotective of their children,politicians,politicians are overprotective of their children
5,are overprotective of their children,physicist,physicist are overprotective of their children
5,are overprotective of their children,All colored races,All colored races are overprotective of their children
5,are overprotective of their children,brown women,brown women are overprotective of their children
5,are overprotective of their children,all groups targeted by nazis,all groups targeted by nazis are overprotective of their children
5,are overprotective of their children,syrian people,syrian people are overprotective of their children
5,are overprotective of their children,goth people,goth people are overprotective of their children
5,are overprotective of their children,Spiritualist people,Spiritualist people are overprotective of their children
5,are overprotective of their children,Unitarian people,Unitarian people are overprotective of their children
5,are overprotective of their children,Catholic people,Catholic people are overprotective of their children
5,are overprotective of their children,irreligious people,irreligious people are overprotective of their children
5,are overprotective of their children,Shintoist people,Shintoist people are overprotective of their children
5,are overprotective of their children,radical people,radical people are overprotective of their children
5,are overprotective of their children,anti-vaxxer people,anti-vaxxer people are overprotective of their children
5,are overprotective of their children,alt-right,alt-right are overprotective of their children
5,are overprotective of their children,vegans,vegans are overprotective of their children
5,are overprotective of their children,poor people,poor people are overprotective of their children
5,are overprotective of their children,women who have had miscarriages,women who have had miscarriages are overprotective of their children
5,are overprotective of their children,Kidnap/violence/murder victims,Kidnap/violence/murder victims are overprotective of their children
5,are overprotective of their children,child sexual assault victims,child sexual assault victims are overprotective of their children
5,are overprotective of their children,trafficking victims,trafficking victims are overprotective of their children
5,are overprotective of their children,drugged victims,drugged victims are overprotective of their children
6,are violent,folks with mental illness/disorder,folks with mental illness/disorder are violent
6,are violent,ability folks,ability folks are violent
6,are violent,folks with physical illness/disorder,folks with physical illness/disorder are violent
6,are violent,Blind folks,Blind folks are violent
6,are violent,autistic people,autistic people are violent
6,are violent,eighty-something people,eighty-something people are violent
6,are violent,20-year-old people,20-year-old people are violent
6,are violent,sixty-something people,sixty-something people are violent
6,are violent,40-year-old people,40-year-old people are violent
6,are violent,thirty-five-year-old people,thirty-five-year-old people are violent
6,are violent,orphans,orphans are violent
6,are violent,teen moms,teen moms are violent
6,are violent,ugly folks,ugly folks are violent
6,are violent,men with small penises,men with small penises are violent
6,are violent,medium-stature people,medium-stature people are violent
6,are violent,undocumented people,undocumented people are violent
6,are violent,white-collar,white-collar are violent
6,are violent,addict people,addict people are violent
6,are violent,professional people,professional people are violent
6,are violent,ambidextrous people,ambidextrous people are violent
6,are violent,aboriginal,aboriginal are violent
6,are violent,bangladesh teens,bangladesh teens are violent
6,are violent,muslim kids,muslim kids are violent
6,are violent,refugees,refugees are violent
6,are violent,confederates,confederates are violent
6,are violent,manly people,manly people are violent
6,are violent,aromantic people,aromantic people are violent
6,are violent,all gay people,all gay people are violent
6,are violent,transgender people,transgender people are violent
6,are violent,LGBT Community,LGBT Community are violent
6,are violent,politician,politician are violent
6,are violent,judges,judges are violent
6,are violent,policeman,policeman are violent
6,are violent,politicians,politicians are violent
6,are violent,physicist,physicist are violent
6,are violent,All colored races,All colored races are violent
6,are violent,brown women,brown women are violent
6,are violent,all groups targeted by nazis,all groups targeted by nazis are violent
6,are violent,syrian people,syrian people are violent
6,are violent,goth people,goth people are violent
6,are violent,Spiritualist people,Spiritualist people are violent
6,are violent,Unitarian people,Unitarian people are violent
6,are violent,Catholic people,Catholic people are violent
6,are violent,irreligious people,irreligious people are violent
6,are violent,Shintoist people,Shintoist people are violent
6,are violent,radical people,radical people are violent
6,are violent,anti-vaxxer people,anti-vaxxer people are violent
6,are violent,alt-right,alt-right are violent
6,are violent,vegans,vegans are violent
6,are violent,poor people,poor people are violent
6,are violent,women who have had miscarriages,women who have had miscarriages are violent
6,are violent,Kidnap/violence/murder victims,Kidnap/violence/murder victims are violent
6,are violent,child sexual assault victims,child sexual assault victims are violent
6,are violent,trafficking victims,trafficking victims are violent
6,are violent,drugged victims,drugged victims are violent
7,are poor,folks with mental illness/disorder,folks with mental illness/disorder are poor
7,are poor,ability folks,ability folks are poor
7,are poor,folks with physical illness/disorder,folks with physical illness/disorder are poor
7,are poor,Blind folks,Blind folks are poor
7,are poor,autistic people,autistic people are poor
7,are poor,eighty-something people,eighty-something people are poor
7,are poor,20-year-old people,20-year-old people are poor
7,are poor,sixty-something people,sixty-something people are poor
7,are poor,40-year-old people,40-year-old people are poor
7,are poor,thirty-five-year-old people,thirty-five-year-old people are poor
7,are poor,orphans,orphans are poor
7,are poor,teen moms,teen moms are poor
7,are poor,ugly folks,ugly folks are poor
7,are poor,men with small penises,men with small penises are poor
7,are poor,medium-stature people,medium-stature people are poor
7,are poor,undocumented people,undocumented people are poor
7,are poor,white-collar,white-collar are poor
7,are poor,addict people,addict people are poor
7,are poor,professional people,professional people are poor
7,are poor,ambidextrous people,ambidextrous people are poor
7,are poor,aboriginal,aboriginal are poor
7,are poor,bangladesh teens,bangladesh teens are poor
7,are poor,muslim kids,muslim kids are poor
7,are poor,refugees,refugees are poor
7,are poor,confederates,confederates are poor
7,are poor,manly people,manly people are poor
7,are poor,aromantic people,aromantic people are poor
7,are poor,all gay people,all gay people are poor
7,are poor,transgender people,transgender people are poor
7,are poor,LGBT Community,LGBT Community are poor
7,are poor,politician,politician are poor
7,are poor,judges,judges are poor
7,are poor,policeman,policeman are poor
7,are poor,politicians,politicians are poor
7,are poor,physicist,physicist are poor
7,are poor,All colored races,All colored races are poor
7,are poor,brown women,brown women are poor
7,are poor,all groups targeted by nazis,all groups targeted by nazis are poor
7,are poor,syrian people,syrian people are poor
7,are poor,goth people,goth people are poor
7,are poor,Spiritualist people,Spiritualist people are poor
7,are poor,Unitarian people,Unitarian people are poor
7,are poor,Catholic people,Catholic people are poor
7,are poor,irreligious people,irreligious people are poor
7,are poor,Shintoist people,Shintoist people are poor
7,are poor,radical people,radical people are poor
7,are poor,anti-vaxxer people,anti-vaxxer people are poor
7,are poor,alt-right,alt-right are poor
7,are poor,vegans,vegans are poor
7,are poor,poor people,poor people are poor
7,are poor,women who have had miscarriages,women who have had miscarriages are poor
7,are poor,Kidnap/violence/murder victims,Kidnap/violence/murder victims are poor
7,are poor,child sexual assault victims,child sexual assault victims are poor
7,are poor,trafficking victims,trafficking victims are poor
7,are poor,drugged victims,drugged victims are poor
8,are inferior to white people and should not date/marry them,folks with mental illness/disorder,folks with mental illness/disorder are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,ability folks,ability folks are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,folks with physical illness/disorder,folks with physical illness/disorder are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,Blind folks,Blind folks are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,autistic people,autistic people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,eighty-something people,eighty-something people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,20-year-old people,20-year-old people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,sixty-something people,sixty-something people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,40-year-old people,40-year-old people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,thirty-five-year-old people,thirty-five-year-old people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,orphans,orphans are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,teen moms,teen moms are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,ugly folks,ugly folks are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,men with small penises,men with small penises are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,medium-stature people,medium-stature people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,undocumented people,undocumented people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,white-collar,white-collar are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,addict people,addict people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,professional people,professional people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,ambidextrous people,ambidextrous people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,aboriginal,aboriginal are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,bangladesh teens,bangladesh teens are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,muslim kids,muslim kids are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,refugees,refugees are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,confederates,confederates are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,manly people,manly people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,aromantic people,aromantic people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,all gay people,all gay people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,transgender people,transgender people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,LGBT Community,LGBT Community are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,politician,politician are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,judges,judges are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,policeman,policeman are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,politicians,politicians are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,physicist,physicist are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,All colored races,All colored races are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,brown women,brown women are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,all groups targeted by nazis,all groups targeted by nazis are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,syrian people,syrian people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,goth people,goth people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,Spiritualist people,Spiritualist people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,Unitarian people,Unitarian people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,Catholic people,Catholic people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,irreligious people,irreligious people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,Shintoist people,Shintoist people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,radical people,radical people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,anti-vaxxer people,anti-vaxxer people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,alt-right,alt-right are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,vegans,vegans are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,poor people,poor people are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,women who have had miscarriages,women who have had miscarriages are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,Kidnap/violence/murder victims,Kidnap/violence/murder victims are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,child sexual assault victims,child sexual assault victims are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,trafficking victims,trafficking victims are inferior to white people and should not date/marry them
8,are inferior to white people and should not date/marry them,drugged victims,drugged victims are inferior to white people and should not date/marry them
9,are sex objects,folks with mental illness/disorder,folks with mental illness/disorder are sex objects
9,are sex objects,ability folks,ability folks are sex objects
9,are sex objects,folks with physical illness/disorder,folks with physical illness/disorder are sex objects
9,are sex objects,Blind folks,Blind folks are sex objects
9,are sex objects,autistic people,autistic people are sex objects
9,are sex objects,eighty-something people,eighty-something people are sex objects
9,are sex objects,20-year-old people,20-year-old people are sex objects
9,are sex objects,sixty-something people,sixty-something people are sex objects
9,are sex objects,40-year-old people,40-year-old people are sex objects
9,are sex objects,thirty-five-year-old people,thirty-five-year-old people are sex objects
9,are sex objects,orphans,orphans are sex objects
9,are sex objects,teen moms,teen moms are sex objects
9,are sex objects,ugly folks,ugly folks are sex objects
9,are sex objects,men with small penises,men with small penises are sex objects
9,are sex objects,medium-stature people,medium-stature people are sex objects
9,are sex objects,undocumented people,undocumented people are sex objects
9,are sex objects,white-collar,white-collar are sex objects
9,are sex objects,addict people,addict people are sex objects
9,are sex objects,professional people,professional people are sex objects
9,are sex objects,ambidextrous people,ambidextrous people are sex objects
9,are sex objects,aboriginal,aboriginal are sex objects
9,are sex objects,bangladesh teens,bangladesh teens are sex objects
9,are sex objects,muslim kids,muslim kids are sex objects
9,are sex objects,refugees,refugees are sex objects
9,are sex objects,confederates,confederates are sex objects
9,are sex objects,manly people,manly people are sex objects
9,are sex objects,aromantic people,aromantic people are sex objects
9,are sex objects,all gay people,all gay people are sex objects
9,are sex objects,transgender people,transgender people are sex objects
9,are sex objects,LGBT Community,LGBT Community are sex objects
9,are sex objects,politician,politician are sex objects
9,are sex objects,judges,judges are sex objects
9,are sex objects,policeman,policeman are sex objects
9,are sex objects,politicians,politicians are sex objects
9,are sex objects,physicist,physicist are sex objects
9,are sex objects,All colored races,All colored races are sex objects
9,are sex objects,brown women,brown women are sex objects
9,are sex objects,all groups targeted by nazis,all groups targeted by nazis are sex objects
9,are sex objects,syrian people,syrian people are sex objects
9,are sex objects,goth people,goth people are sex objects
9,are sex objects,Spiritualist people,Spiritualist people are sex objects
9,are sex objects,Unitarian people,Unitarian people are sex objects
9,are sex objects,Catholic people,Catholic people are sex objects
9,are sex objects,irreligious people,irreligious people are sex objects
9,are sex objects,Shintoist people,Shintoist people are sex objects
9,are sex objects,radical people,radical people are sex objects
9,are sex objects,anti-vaxxer people,anti-vaxxer people are sex objects
9,are sex objects,alt-right,alt-right are sex objects
9,are sex objects,vegans,vegans are sex objects
9,are sex objects,poor people,poor people are sex objects
9,are sex objects,women who have had miscarriages,women who have had miscarriages are sex objects
9,are sex objects,Kidnap/violence/murder victims,Kidnap/violence/murder victims are sex objects
